id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
336106,FND,small_airport,Funadhoo Airport,6.162443,73.28752,,AS,MV,MV-24,Funadhoo,yes,,FND,FND,,,
44571,NGFU,medium_airport,Funafuti International Airport,-8.525,179.195999,9,OC,TV,TV-FUN,Funafuti,yes,NGFU,FUN,,,https://en.wikipedia.org/wiki/Funafuti_International_Airport,
31104,SKFU,small_airport,Fundación Airport,10.5333,-74.2,150,SA,CO,CO-MAG,Fundación,no,SKFU,FDA,FDA,,,
20283,KL06,small_airport,Furnace Creek Airport,36.463799,-116.880997,-210,NA,US,US-CA,Death Valley National Park,no,,DTH,L06,,https://en.wikipedia.org/wiki/Furnace_Creek_Airport,
6020,SCFT,small_airport,Futaleufú Airport,-43.18920135,-71.85109711,1148,SA,CL,CL-LL,Futaleufu,no,SCFT,FFU,,,,
31209,NVVF,small_airport,Futuna Airport,-19.51639938,170.2319946,95,OC,VU,VU-TAE,Futuna Island,yes,NVVF,FTA,,,https://en.wikipedia.org/wiki/Futuna_Airport,
300712,VRMF,small_airport,Fuvahmulah Airport,-0.3097222222,73.435,17,AS,MV,MV-29,Fuvahmulah Island,no,VRMR,FVM,,,,
308240,ZSFY,medium_airport,Fuyang Xiguan Airport,32.882157,115.734364,104,AS,CN,CN-34,"Yingzhou, Fuyang",yes,ZSFY,FUG,,,https://en.wikipedia.org/wiki/Fuyang_Xiguan_Airport,
313994,ZYFY,medium_airport,Fuyuan Dongji Aiport,48.197219,134.36298,,AS,CN,CN-23,Fuyuan,yes,ZYFY,FYJ,,,https://en.wikipedia.org/wiki/Fuyuan_Dongji_Airport,
323219,ZWFY,medium_airport,Fuyun Koktokay Airport,46.804169,89.512006,3081,AS,CN,CN-65,Fuyun,yes,ZWFY,FYN,,,https://en.wikipedia.org/wiki/Fuyun_Koktokay_Airport,
27217,ZSFZ,large_airport,Fuzhou Changle International Airport,25.934669,119.66318,46,AS,CN,CN-35,Fuzhou,no,ZSFZ,FOC,FOC,,https://en.wikipedia.org/wiki/Fuzhou_Changle_International_Airport,
300740,UBBQ,medium_airport,Gabala International Airport,40.808617,47.725389,935,AS,AZ,AZ-QAB,Gabala,yes,UBBQ,GBB,,,https://en.wikipedia.org/wiki/Gabala_Airport,"Qəbələ, Qabala"
17573,GAB,small_airport,Gabbs Airport,38.923173,-117.9572,4700,NA,US,US-NV,Gabbs,no,KGAB,GAB,GAB,,https://en.wikipedia.org/wiki/Gabbs_Airport,
2137,DTTG,medium_airport,Gabès Matmata International Airport,33.733691,9.91941,407,AF,TN,TN-81,Gabès,yes,DTTG,GAE,,,https://en.wikipedia.org/wiki/Gab%C3%A8s_-_Matmata_International_Airport,
5133,OIAH,medium_airport,Gachsaran Airport,30.33760071,50.82799912,2414,AS,IR,IR-17,Gachsaran,no,OIAH,GCH,,,,
2136,DTTF,medium_airport,Gafsa Ksar International Airport,34.42200089,8.822500229,1060,AF,TN,TN-71,Gafsa,yes,DTTF,GAF,,,https://en.wikipedia.org/wiki/Gafsa_-_Ksar_International_Airport,
31515,ID-GAV,small_airport,Gag Island Airport,-0.4005559981,129.8950043,1,AS,ID,ID-PB,Gag Island,no,,GAV,,,,
339001,UWSG,large_airport,Gagarin International Airport,51.712778,46.171111,103,EU,RU,RU-SAR,Saratov,yes,UWSG,GSV,,http://gsv.aero/en/,https://en.wikipedia.org/wiki/Saratov_Gagarin_Airport,
17574,KGAG,small_airport,Gage Airport,36.29550171,-99.77639771,2223,NA,US,US-OK,Gage,no,KGAG,GAG,GAG,,,
31527,DIGA,small_airport,Gagnoa Airport,6.132999897,-5.949999809,732,AF,CI,CI-02,Gagnoa,no,DIGA,GGN,,,,
44373,CGK2,small_airport,Gahcho Kue,63.435198,-109.144812,1371,NA,CA,CA-NT,,no,CGK2,GHK,CGK2,,https://en.wikipedia.org/wiki/Gahcho_Kue_Aerodrome,De Beers Canada
19957,KGLE,small_airport,Gainesville Municipal Airport,33.65140152,-97.1969986,845,NA,US,US-TX,Gainesville,no,KGLE,GLE,GLE,http://www.gainesville.tx.us/index.aspx?nid=99,https://en.wikipedia.org/wiki/Gainesville_Municipal_Airport,
3559,KGNV,medium_airport,Gainesville Regional Airport,29.69009972,-82.27179718,152,NA,US,US-FL,Gainesville,yes,KGNV,GNV,GNV,,https://en.wikipedia.org/wiki/Gainesville_Regional_Airport,
17575,PAGB,small_airport,Galbraith Lake Airport,68.47969818,-149.4900055,2663,NA,US,US-AK,Galbraith Lake,no,PAGB,GBH,GBH,,https://en.wikipedia.org/wiki/Galbraith_Lake_Airport,
31536,HCMR,small_airport,Galcaio Airport,6.780829906,47.45470047,975,AF,SO,SO-MU,Galcaio,yes,HCMR,GLK,,,https://en.wikipedia.org/wiki/Galkacyo_Airport,Galkacyo Airport
30932,HSGG,small_airport,Galegu Airport,12.53299999,35.06700134,1640,AF,SD,SD-25,Dinder,no,HSGG,DNX,,,https://en.wikipedia.org/wiki/Galegu_Airport,
19926,KGBG,small_airport,Galesburg Municipal Airport,40.93799973,-90.43109894,764,NA,US,US-IL,Galesburg,no,KGBG,GBG,GBG,http://www.ci.galesburg.il.us/services/airport/,https://en.wikipedia.org/wiki/Galesburg_Municipal_Airport,
19975,KGQQ,small_airport,Galion Municipal Airport,40.7533989,-82.72380066,1224,NA,US,US-OH,Galion,no,KGQQ,GQQ,GQQ,http://www.ci.galion.oh.us/airport/airport.html,https://en.wikipedia.org/wiki/Galion_Municipal_Airport,
3437,KBZN,medium_airport,Gallatin Field,45.77750015,-111.1529999,4473,NA,US,US-MT,Bozeman,yes,KBZN,BZN,BZN,,https://en.wikipedia.org/wiki/Gallatin_Field_Airport,
2676,ESNG,medium_airport,Gällivare Airport,67.13240051,20.81459999,1027,EU,SE,SE-BD,Gällivare,yes,ESNG,GEV,,,https://en.wikipedia.org/wiki/G%C3%A4llivare_Airport,
3572,KGUP,medium_airport,Gallup Municipal Airport,35.51110077,-108.7890015,6472,NA,US,US-NM,Gallup,no,KGUP,GUP,GUP,,https://en.wikipedia.org/wiki/Gallup_Municipal_Airport,
2531,EICM,medium_airport,Galway Airport,53.30020142,-8.941590309,81,EU,IE,IE-G,Galway,yes,EICM,GWY,,http://www.galwayairport.com/,https://en.wikipedia.org/wiki/Galway_Airport,
32467,HLGN,small_airport,Gamal Abdel Nasser Airport,31.861,23.907,519,AF,LY,LY-BU,Tobruk,yes,HLGN,TOB,,,https://en.wikipedia.org/wiki/Tobruk_Airport,
31540,WAMA,small_airport,Gamarmalamo Airport,1.83833003,127.7860031,180,AS,ID,ID-MU,Galela-Celebes Island,no,WAMA,GLX,,,,
35322,GA-GAX,small_airport,Gamba Airport,-2.785278,10.047222,30,AF,GA,GA-8,Gamba,yes,FOGX,GAX,,,https://en.wikipedia.org/wiki/Gamba_Airport,
5368,PAGM,medium_airport,Gambell Airport,63.76679993,-171.7330017,27,NA,US,US-AK,Gambell,no,PAGM,GAM,GAM,,https://en.wikipedia.org/wiki/Gambell_Airport,
3163,HAGM,medium_airport,Gambella Airport,8.128760338,34.56309891,1614,AF,ET,ET-GA,Gambela,yes,HAGM,GMB,,,https://en.wikipedia.org/wiki/Gambela_Airport,Gambela National Park
29885,SCST,small_airport,Gamboa Airport,-42.49029922,-73.77279663,151,SA,CL,CL-LL,Castro,no,SCST,WCA,,,,
31543,FCOG,small_airport,Gamboma Airport,-1.829403,15.885237,1509,AF,CG,CG-14,Gamboma,no,FCOG,GMM,,,https://en.wikipedia.org/wiki/Gamboma_Airport,
27576,YGAM,small_airport,Gamboola Airport,-16.54999924,143.6670074,,OC,AU,AU-QLD,,no,YGAM,GBP,,,,
26633,VRMG,medium_airport,Gan International Airport,-0.693342,73.155602,6,AS,MV,MV-01,Gan,yes,VRMG,GAN,MV,http://www.airports.com.mv/domestic/gan.htm,https://en.wikipedia.org/wiki/Gan_International_Airport,"Gan Airport, Addu City, Maldives"
31521,FZWC,small_airport,Gandajika Airport,-6.733,23.950001,2618,AF,CD,CD-KE,Gandajika,no,FZWC,GDJ,,,https://en.wikipedia.org/wiki/Gandajika_Airport,
1881,CYQX,medium_airport,Gander International Airport,48.93690109,-54.56809998,496,NA,CA,CA-NL,Gander,yes,CYQX,YQX,,,https://en.wikipedia.org/wiki/Gander_International_Airport,CFB Gander
31516,VYGG,small_airport,Gangaw Airport,22.17469978,94.13439941,200,AS,MM,MM-03,Gangaw,no,VYGG,GAW,,,,
5636,RKNN,medium_airport,Gangneung Airport (K-18),37.753601,128.943915,35,AS,KR,KR-42,Gangneung,no,RKNN,KAG,,,https://en.wikipedia.org/wiki/Gangneung_Air_Base,K-18
6441,UBBG,medium_airport,Ganja International Airport,40.737701,46.3176,1083,AS,AZ,AZ-GA,Ganja,yes,UBBG,KVD,,,https://en.wikipedia.org/wiki/Ganja_International_Airport,"Gyandzha Airport, Аэропорт Гянджа"
312986,ZLXH,medium_airport,Gannan Xiahe Airport,34.8105,102.6447,10510,AS,CN,CN-62,Xiahe,yes,ZLXH,GXH,,,https://en.wikipedia.org/wiki/Gannan_Xiahe_Airport,Hezuo
18607,K2O1,small_airport,Gansner Field,39.943902,-120.945,3415,NA,US,US-CA,Quincy,no,,GNF,2O1,,https://en.wikipedia.org/wiki/Gansner_Field,
31769,ZSGZ,small_airport,Ganzhou Huangjin Airport,25.853333,114.778889,387,AS,CN,CN-36,Ganzhou,yes,ZSGZ,KOW,,,https://en.wikipedia.org/wiki/Ganzhou_Huangjin_Airport,
3067,GAGO,medium_airport,Gao Airport,16.24839973,-0.005456000101,870,AF,ML,ML-7,,yes,GAGO,GAQ,,,https://en.wikipedia.org/wiki/Gao_International_Airport,
32698,DFOG,small_airport,Gaoua Airport,10.384059,-3.163454,1099,AF,BF,BF-PON,Gaoua,no,DFOG,XGA,,,https://en.wikipedia.org/wiki/Gaoua_Airport,
28938,LFNA,small_airport,Gap - Tallard Airfield,44.455002,6.03778,1986,EU,FR,FR-PAC,,no,LFNA,GAT,,,,
309162,GHE,small_airport,Garachiné Airport,8.0644,-78.3673,42,NA,PA,PA-5,Garachiné,no,,GHE,,,,
46178,PG-0009,small_airport,Garaina Airport,-7.875625027,147.1412659,2497,OC,PG,PG-MPL,Garaina,no,AYGI,GAR,GNA,,,
316,SNGN,small_airport,Garanhuns Airport,-8.834280014,-36.47159958,2533,SA,BR,BR-PE,Garanhuns,no,SNGN,QGP,SNGN,,,
308005,AYGG,small_airport,Garasa Airport,-7.980713,147.213461,2539,OC,PG,PG-MPL,Au,no,AYGG,GRL,GSA,,,
319712,GBM,small_airport,Garbaharey Airport,3.32294,42.21309,755,AF,SO,SO-GE,Garbaharey,no,,GBM,,,https://en.wikipedia.org/wiki/Garbaharey_Airport,"Garbahaareey, Garba Harre"
3219,HLGD,medium_airport,Gardabya Airport,31.06349945,16.59499931,267,AF,LY,LY-SR,Sirt,yes,HLGD,SRX,,,https://en.wikipedia.org/wiki/Gardabya_Airport,Sirte
3550,KGCK,medium_airport,Garden City Regional Airport,37.92750168,-100.723999,2891,NA,US,US-KS,Garden City,yes,KGCK,GCK,GCK,,https://en.wikipedia.org/wiki/Garden_City_Regional_Airport,
20735,KOKS,small_airport,Garden County Airport/King Rhiley Field,41.401001,-102.355003,3394,NA,US,US-NE,Oshkosh,no,KOKS,OKS,OKS,http://www.ci.oshkosh.ne.us/airport.asp,,
26997,YGPT,medium_airport,Garden Point Airport,-11.40250015,130.4219971,90,OC,AU,AU-NT,,no,YGPT,GPN,,,,
35374,OAGZ,small_airport,Gardez Airport,33.627366,69.237023,7790,AS,AF,AF-PIA,Gardez,no,OAGZ,GRG,,,https://en.wikipedia.org/wiki/Gardez_Airport,
19935,KGDM,small_airport,Gardner Municipal Airport,42.54999924,-72.01609802,955,NA,US,US-MA,Gardner,no,KGDM,GDM,GDM,,https://en.wikipedia.org/wiki/Gardner_Municipal_Airport_(Massachusetts),
31552,HCMG,small_airport,Gardo Airport,9.517000198,49.08300018,2632,AF,SO,SO-BR,Gardo,no,HCMG,GSR,,,,
20931,KRIL,medium_airport,Garfield County Regional Airport,39.526299,-107.726997,5548,NA,US,US-CO,Rifle,no,KRIL,RIL,RIL,http://www.rifleairport.com/,https://en.wikipedia.org/wiki/Garfield_County_Regional_Airport,Rifle Airport
31514,HKGA,small_airport,Garissa Airport,-0.4635080099,39.64830017,475,AF,KE,KE-500,Garissa,no,HKGA,GAS,,,,
21307,KUVA,small_airport,Garner Field,29.2112999,-99.74359894,942,NA,US,US-TX,Uvalde,no,KUVA,UVA,UVA,http://uvaldeflightcenter.com/,https://en.wikipedia.org/wiki/Garner_Field,
2886,FKKR,medium_airport,Garoua International Airport,9.335889816,13.37010002,794,AF,CM,CM-NO,Garoua,yes,FKKR,GOU,,,https://en.wikipedia.org/wiki/Garoua_International_Airport,
319714,HCMW,small_airport,Garowe Airport,8.457942,48.567407,1465,AF,SO,SO-NU,Garowe,no,HCMW,GGR,,,https://en.wikipedia.org/wiki/Garowe_Airport,Puntland
3575,KGYY,medium_airport,Gary Chicago International Airport,41.61629868,-87.41280365,591,NA,US,US-IN,Gary,no,KGYY,GYY,GYY,,https://en.wikipedia.org/wiki/Gary/Chicago_International_Airport,
336107,ZUGZ,small_airport,Garze Gesar Airport,31.7575,99.554167,,AS,CN,CN-51,Garze County,yes,ZUGZ,GZG,GZG,,,
38372,YGSC,small_airport,Gascoyne Junction Airport,-25.0546,115.2026,499,OC,AU,AU-WA,Gascoyne Junction,no,YGSC,GSC,,,,
31542,PG-GMI,small_airport,Gasmata Island Airport,-6.271110058,150.3309937,23,OC,PG,PG-WBK,Gasmata Island,yes,AYGT,GMI,GMA,,https://en.wikipedia.org/wiki/Gasmata_Airport,
1747,CYGP,medium_airport,Gaspé (Michel-Pouliot) Airport,48.77529907,-64.47859955,112,NA,CA,CA-QC,Gaspé,yes,CYGP,YGP,,,https://en.wikipedia.org/wiki/Gasp%C3%A9_Airport,
5091,OEGS,medium_airport,Gassim Airport,26.30279922,43.7743988,2126,AS,SA,SA-05,,yes,OEGS,ELQ,,,https://en.wikipedia.org/wiki/Gassim_Regional_Airport,
311386,AYGS,small_airport,Gasuke Airport,-6.1028,141.7393,157,OC,PG,PG-WPD,Gasuke,no,AYGS,GBC,GSK,,,
19954,KGKT,small_airport,Gatlinburg-Pigeon Forge Airport,35.85779953,-83.52870178,1014,NA,US,US-TN,Sevierville,no,KGKT,GKT,GKT,,https://en.wikipedia.org/wiki/Gatlinburg-Pigeon_Forge_Airport,
35168,AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,70,OC,SB,SB-WE,Gatokae,yes,AGOK,GTA,,,https://en.wikipedia.org/wiki/Gatokae_Aerodrome,
35158,NVSQ,medium_airport,Gaua Island Airport,-14.21809959,167.5870056,100,OC,VU,VU-TOB,Gaua Island,yes,NVSQ,ZGU,,,https://en.wikipedia.org/wiki/Gaua_Airport,Banks Islands
26593,VNBW,medium_airport,Gautam Buddha International Airport,27.505328,83.412594,358,AS,NP,NP-LU,Siddharthanagar (Bhairahawa),yes,VNBW,BWA,,,https://en.wikipedia.org/wiki/Gautam_Buddha_Airport,Bhairahawa Airport
2705,ESSK,medium_airport,Gävle Sandviken Airport,60.59329987,16.95140076,224,EU,SE,SE-X,Gävle / Sandviken,no,ESSK,GVX,,,,
26502,VEGY,medium_airport,Gaya Airport,24.74430084,84.95120239,380,AS,IN,IN-BR,,yes,VEGY,GAY,,,https://en.wikipedia.org/wiki/Gaya_Airport,
19959,KGLR,small_airport,Gaylord Regional Airport,45.01350021,-84.70359802,1328,NA,US,US-MI,Gaylord,no,KGLR,GLR,GLR,http://www.gaylordregional.com/default.htm,https://en.wikipedia.org/wiki/Gaylord_Regional_Airport,Otsego County
26987,YGAY,small_airport,Gayndah Airport,-25.61440086,151.6190033,369,OC,AU,AU-QLD,,no,YGAY,GAH,,,,
4516,LTAJ,medium_airport,Gaziantep International Airport,36.947201,37.478699,2315,AS,TR,TR-27,Gaziantep,yes,LTAJ,GZT,,,https://en.wikipedia.org/wiki/O%C4%9Fuzeli_Airport,
44487,LTFG,medium_airport,Gazipaşa-Alanya Airport,36.299217,32.300598,92,AS,TR,TR-07,Gazipaşa,yes,LTFG,GZP,,http://www.gzpairport.com/,https://en.wikipedia.org/wiki/Gazipa%C5%9Fa_Airport,
3047,FZFD,medium_airport,Gbadolite Airport,4.25321,20.9753,1509,AF,CD,CD-EQ,Gbadolite,yes,FZFD,BDT,,,https://en.wikipedia.org/wiki/Gbadolite_Airport,
31517,GFGK,small_airport,Gbangbatok Airport,7.767000198,-12.38300037,75,AF,SL,SL-S,Gbangbatok,no,GFGK,GBK,,,https://en.wikipedia.org/wiki/Gbangbatok_Airport,
2608,EPGD,large_airport,Gdańsk Lech Wałęsa Airport,54.37760162,18.46619987,489,EU,PL,PL-PM,Gdańsk,yes,EPGD,GDN,,http://www.airport.gdansk.pl/,https://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,Gdańsk-Rębiechowo
31523,WAMJ,small_airport,Gebe Airport,-0.07888899744,129.4579926,125,AS,ID,ID-MU,Gebe Island,no,WAMJ,GEB,,,,
2736,ETNG,medium_airport,Geilenkirchen Air Base,50.9608,6.04242,296,EU,DE,DE-NW,,no,ETNG,GKE,,,,
2573,ENDI,small_airport,Geilo Airport Dagali,60.41730118,8.518349648,2618,EU,NO,NO-30,Dagali,no,ENDI,DLD,,http://www.geilolufthavn.no/,https://en.wikipedia.org/wiki/Geilo_Airport%2C_Dagali,
31534,ET-GLC,small_airport,Geladi Airport,6.98443985,46.42139816,1383,AF,ET,ET-SO,Geladi,no,HAGL,GLC,,,,
31522,URKG,medium_airport,Gelendzhik Airport,44.58209263,38.01248074,98,EU,RU,RU-KDA,Gelendzhik,yes,URKG,GDZ,,http://basel.aero/en/gelendjik/,https://en.wikipedia.org/wiki/Gelendzhik_Airport,Аэропорт Геленджик
308995,VQGP,medium_airport,Gelephu Airport,26.88456,90.46412,980,AS,BT,BT-31,Gelephu,no,VQGP,GLU,,,https://en.wikipedia.org/wiki/Gelephu_Airport,
3048,FZFK,medium_airport,Gemena Airport,3.235369921,19.77129936,1378,AF,CD,CD-EQ,Gemena,yes,FZFK,GMA,,,https://en.wikipedia.org/wiki/Gemena_Airport,
30990,HSGN,small_airport,Geneina Airport,13.481882,22.467119,2651,AF,SD,SD-12,Geneina,no,HSGN,EGN,,,https://en.wikipedia.org/wiki/Geneina_Airport,
4757,MMTJ,large_airport,General Abelardo L. Rodríguez International Airport,32.54109955,-116.9700012,489,NA,MX,MX-BCN,Tijuana,yes,MMTJ,TIJ,,http://aeropuertosgap.com.mx/english/airports/tijuana-airport,https://en.wikipedia.org/wiki/General_Abelardo_L._Rodr%C3%ADguez_International_Airport,
6310,SVPC,medium_airport,General Bartolome Salom International Airport,10.48050022,-68.07299805,32,SA,VE,VE-G,,no,SVPC,PBL,,,,
5822,SAVC,medium_airport,General E. Mosconi Airport,-45.7853,-67.4655,189,SA,AR,AR-U,Comodoro Rivadavia,yes,SAVC,CRD,CRV,,,
5815,SAST,medium_airport,General Enrique Mosconi Airport,-22.6196003,-63.79370117,1472,SA,AR,AR-A,Tartagal,yes,SAST,TTG,TAR,,,
6270,SVCP,medium_airport,General Francisco Bermúdez Airport,10.66001415,-63.2616806,33,SA,VE,VE-R,Carúpano,yes,SVCP,CUP,,,,
4728,MMMM,medium_airport,General Francisco J. Mujica International Airport,19.849899,-101.025002,6033,NA,MX,MX-MIC,Morelia,yes,MMMM,MLM,,,https://en.wikipedia.org/wiki/General_Francisco_J._Mujica_International_Airport,
4758,MMTM,medium_airport,General Francisco Javier Mina International Airport,22.29640007,-97.86589813,80,NA,MX,MX-TAM,Tampico,yes,MMTM,TAM,,,https://en.wikipedia.org/wiki/General_Francisco_Javier_Mina_International_Airport,
4707,MMDO,medium_airport,General Guadalupe Victoria International Airport,24.12420082,-104.5279999,6104,NA,MX,MX-DUR,Durango,yes,MMDO,DGO,,,https://en.wikipedia.org/wiki/General_Guadalupe_Victoria_International_Airport,
4764,MMVR,medium_airport,General Heriberto Jara International Airport,19.14590073,-96.18730164,90,NA,MX,MX-VER,Veracruz,yes,MMVR,VER,,http://www.asur.com.mx/asur/ingles/aeropuertos/veracruz/veracruz.asp,https://en.wikipedia.org/wiki/General_Heriberto_Jara_International_Airport,
4713,MMHO,large_airport,General Ignacio P. Garcia International Airport,29.09589958,-111.0479965,627,NA,MX,MX-SON,Hermosillo,yes,MMHO,HMO,,,https://en.wikipedia.org/wiki/General_Ignacio_Pesqueira_Garcia_International_Airport,
6255,SVBC,large_airport,General José Antonio Anzoategui International Airport,10.111111,-64.692222,30,SA,VE,VE-B,Barcelona,yes,SVBC,BLA,,http://aigdjaa.baer.gob.ve,https://en.wikipedia.org/wiki/General_Jos%C3%A9_Antonio_Anzo%C3%A1tegui_International_Airport,"Barcelona, Puero La Cruz,Lecheria"
